epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4148.26,0.80795,0.55844,1.04907,0.90333,0.74407,0.80891,0.63807,0.67685,0.48707,0.95174,0.000320007,0.000320007,0.000320007
70,4225.2,0.7742,0.54865,1.02721,0.9184,0.7144,0.80571,0.62983,0.71907,0.47788,0.96907,0.000310007,0.000310007,0.000310007
71,4289.42,0.77566,0.53765,1.02986,0.90676,0.7264,0.80821,0.64254,0.6675,0.46957,0.94591,0.000300007,0.000300007,0.000300007
72,4350.18,0.76826,0.53532,1.02608,0.92162,0.74345,0.81523,0.64806,0.64236,0.45225,0.94237,0.000290007,0.000290007,0.000290007
73,4410.31,0.76553,0.51479,1.02232,0.92989,0.71849,0.81061,0.63904,0.68837,0.46909,0.94888,0.000280007,0.000280007,0.000280007
74,4469.98,0.76731,0.52444,1.02699,0.90059,0.73731,0.80448,0.63457,0.68299,0.46481,0.95001,0.000270007,0.000270007,0.000270007
75,4527.29,0.75928,0.51293,1.02146,0.91103,0.74806,0.80702,0.64873,0.67007,0.46593,0.96837,0.000260007,0.000260007,0.000260007
76,4584.8,0.75353,0.51579,1.01477,0.91196,0.73603,0.81202,0.64455,0.67507,0.4659,0.95556,0.000250008,0.000250008,0.000250008
77,4646.49,0.7592,0.51152,1.02637,0.92023,0.72378,0.80468,0.6366,0.67557,0.46998,0.95178,0.000240008,0.000240008,0.000240008
78,4703.98,0.73969,0.50662,1.01755,0.9019,0.73531,0.80618,0.64556,0.63806,0.45615,0.94508,0.000230008,0.000230008,0.000230008
79,4786.6,0.73407,0.50438,1.01477,0.94534,0.72552,0.81785,0.65136,0.66002,0.45484,0.95791,0.000220008,0.000220008,0.000220008
80,4847.4,0.72671,0.48529,1.00715,0.90933,0.7623,0.81704,0.64955,0.66059,0.44637,0.94662,0.000210008,0.000210008,0.000210008
81,4908.73,0.73186,0.49235,1.00575,0.92834,0.74434,0.81565,0.64981,0.66747,0.44661,0.95895,0.000200008,0.000200008,0.000200008
82,4966.4,0.72814,0.48737,1.00307,0.91375,0.73968,0.81492,0.65304,0.65519,0.45187,0.94758,0.000190008,0.000190008,0.000190008
83,5023.98,0.71716,0.47907,1.00266,0.9136,0.75446,0.81718,0.65028,0.64274,0.43758,0.94478,0.000180008,0.000180008,0.000180008
84,5096.29,0.72385,0.48428,1.01074,0.91,0.74458,0.81616,0.65309,0.64632,0.44073,0.95394,0.000170008,0.000170008,0.000170008
85,5161.46,0.69891,0.47729,0.99356,0.92554,0.73779,0.81716,0.66297,0.60454,0.43559,0.94215,0.000160008,0.000160008,0.000160008
86,5219.06,0.70615,0.47819,1.00659,0.91761,0.7541,0.82068,0.65847,0.63754,0.43951,0.94197,0.000150009,0.000150009,0.000150009
87,5276.51,0.71525,0.48295,1.00425,0.9286,0.74445,0.81665,0.65568,0.62343,0.44163,0.93447,0.000140009,0.000140009,0.000140009
88,5333.97,0.69396,0.45516,0.98697,0.92378,0.74393,0.81709,0.65251,0.65077,0.44689,0.94652,0.000130009,0.000130009,0.000130009
89,5393.42,0.71449,0.47918,1.00048,0.93399,0.74374,0.81723,0.6613,0.60027,0.42483,0.93469,0.000120009,0.000120009,0.000120009
90,5457.41,0.68816,0.46219,0.99963,0.91162,0.74572,0.81854,0.66197,0.60336,0.42538,0.93056,0.000110009,0.000110009,0.000110009
91,5524.68,0.54102,0.3314,0.88961,0.93196,0.7356,0.80744,0.65294,0.62299,0.44949,0.9362,0.000100009,0.000100009,0.000100009
92,5582.15,0.53204,0.32012,0.88126,0.93437,0.74285,0.81066,0.65639,0.60596,0.43987,0.93797,9.00091e-05,9.00091e-05,9.00091e-05
93,5639.42,0.53088,0.3187,0.88465,0.94594,0.73562,0.81343,0.65603,0.61177,0.43964,0.93796,8.00092e-05,8.00092e-05,8.00092e-05
94,5696.98,0.52449,0.31901,0.88321,0.92813,0.73763,0.80903,0.65264,0.6282,0.45571,0.94341,7.00093e-05,7.00093e-05,7.00093e-05
95,5754.53,0.512,0.3099,0.8771,0.93443,0.72834,0.81378,0.662,0.60481,0.44823,0.93831,6.00094e-05,6.00094e-05,6.00094e-05
96,5811.64,0.50685,0.30379,0.86499,0.93071,0.73926,0.81478,0.66003,0.60345,0.44149,0.93518,5.00095e-05,5.00095e-05,5.00095e-05
